,country,happiness_rank,happiness_score,gdp_per_capita,family,health_life_expectancy,freedom,corruption,generosity,dystopia,year,social_support,region_cons
55,Costa Rica,12,7.226,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,2015,,Latin America and Caribbean
56,Costa Rica,14,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,2016,,Latin America and Caribbean
57,Costa Rica,12,7.0789999961853,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.100106589496136,0.214613229036331,2.89863920211792,2017,,Latin America and Caribbean
58,Costa Rica,13,7.072,1.01,,0.817,0.632,0.101,0.143,,2018,1.459,Latin America and Caribbean
59,Costa Rica,12,7.167,1.034,,0.963,0.558,0.093,0.144,,2019,1.441,Latin America and Caribbean
60,Austria,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,2015,,Western Europe
61,Austria,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,2016,,Western Europe
62,Austria,13,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734,2.1385064125061,2017,,Western Europe
63,Austria,12,7.139,1.341,,0.891,0.617,0.224,0.242,,2018,1.504,Western Europe
64,Austria,10,7.246,1.376,,1.016,0.532,0.226,0.244,,2019,1.475,Western Europe
65,Mexico,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,2015,,Latin America and Caribbean
66,Mexico,21,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906,2016,,Latin America and Caribbean
67,Mexico,25,6.57800006866455,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.132774114608765,0.120990432798862,2.83715486526489,2017,,Latin America and Caribbean
68,Mexico,24,6.488,1.038,,0.761,0.479,0.095,0.069,,2018,1.252,Latin America and Caribbean
69,Mexico,23,6.595,1.07,,0.861,0.433,0.073,0.074,,2019,1.323,Latin America and Caribbean
70,United States,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,2015,,North America
71,United States,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782,2016,,North America
72,United States,14,6.99300003051758,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.135638788342476,0.392578780651093,2.2181134223938,2017,,North America
73,United States,18,6.886,1.398,,0.819,0.547,0.133,0.291,,2018,1.471,North America
74,United States,19,6.892,1.433,,0.874,0.454,0.128,0.28,,2019,1.457,North America
75,Brazil,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,2015,,Latin America and Caribbean
76,Brazil,17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,2016,,Latin America and Caribbean
77,Brazil,22,6.63500022888184,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.111092761158943,0.16234989464283,2.76926708221436,2017,,Latin America and Caribbean
78,Brazil,28,6.419,0.986,,0.675,0.493,0.088,0.11,,2018,1.474,Latin America and Caribbean
79,Brazil,32,6.3,1.004,,0.802,0.39,0.086,0.099,,2019,1.439,Latin America and Caribbean
80,Luxembourg,17,6.946,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,2015,,Western Europe
81,Luxembourg,20,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,2016,,Western Europe
82,Luxembourg,18,6.86299991607666,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466,1.61951208114624,2017,,Western Europe
83,Luxembourg,17,6.91,1.576,,0.896,0.632,0.321,0.196,,2018,1.52,Western Europe
84,Luxembourg,14,7.09,1.609,,1.012,0.526,0.316,0.194,,2019,1.479,Western Europe
85,Ireland,18,6.94,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,2015,,Western Europe
86,Ireland,19,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,2016,,Western Europe
87,Ireland,15,6.97700023651123,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.29838815331459,0.42785832285881,1.77386903762817,2017,,Western Europe
88,Ireland,14,6.977,1.448,,0.876,0.614,0.306,0.307,,2018,1.583,Western Europe
89,Ireland,16,7.021,1.499,,0.999,0.516,0.31,0.298,,2019,1.553,Western Europe
90,Belgium,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,2015,,Western Europe
91,Belgium,18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,2016,,Western Europe
92,Belgium,17,6.89099979400635,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.251343131065369,0.231503337621689,2.12421035766602,2017,,Western Europe
93,Belgium,16,6.927,1.324,,0.894,0.583,0.24,0.188,,2018,1.483,Western Europe
94,Belgium,18,6.923,1.356,,0.986,0.473,0.21,0.16,,2019,1.504,Western Europe
95,United Arab Emirates,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,2015,,Middle East and Northern Africa
96,United Arab Emirates,28,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,2016,,Middle East and Northern Africa
97,United Arab Emirates,21,6.64799976348877,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.324489563703537,0.3609419465065,1.734703540802,2017,,Middle East and Northern Africa
98,United Arab Emirates,20,6.774,2.096,,0.67,0.284,,0.186,,2018,0.776,Middle East and Northern Africa
99,United Arab Emirates,21,6.825,1.503,,0.825,0.598,0.182,0.262,,2019,1.31,Middle East and Northern Africa
100,United Kingdom,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,2015,,Western Europe
101,United Kingdom,23,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999,2016,,Western Europe
102,United Kingdom,19,6.71400022506714,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.265428066253662,0.492774158716202,1.70414352416992,2017,,Western Europe
103,United Kingdom,11,7.19,1.244,,0.888,0.464,0.082,0.262,,2018,1.433,Western Europe
104,United Kingdom,15,7.054,1.333,,0.996,0.45,0.278,0.348,,2019,1.538,Western Europe
105,Oman,22,6.853,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,2015,,Middle East and Northern Africa
106,Venezuela,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,2015,,Latin America and Caribbean
107,Venezuela,44,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,2016,,Latin America and Caribbean
108,Venezuela,82,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0644911229610443,0.0650196298956871,1.78946375846863,2017,,Latin America and Caribbean
109,Venezuela,102,4.806,0.996,,0.657,0.133,0.052,0.056,,2018,1.469,Latin America and Caribbean
110,Venezuela,108,4.707,0.96,,0.805,0.154,0.047,0.064,,2019,1.427,Latin America and Caribbean
111,Singapore,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,2015,,Southeastern Asia
112,Singapore,22,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,2016,,Southeastern Asia
113,Singapore,26,6.57200002670288,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.46430778503418,0.345965981483459,1.21636199951172,2017,,Southeastern Asia
114,Singapore,34,6.343,1.529,,1.008,0.631,0.457,0.261,,2018,1.451,Southeastern Asia
115,Singapore,34,6.262,1.572,,1.141,0.556,0.453,0.271,,2019,1.463,Southeastern Asia
116,Panama,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,2015,,Latin America and Caribbean
117,Panama,25,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,2016,,Latin America and Caribbean
118,Panama,30,6.4520001411438,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.070983923971653,0.21055693924427,2.30719995498657,2017,,Latin America and Caribbean
119,Panama,27,6.43,1.112,,0.759,0.597,0.063,0.125,,2018,1.438,Latin America and Caribbean
120,Panama,31,6.321,1.149,,0.91,0.516,0.054,0.109,,2019,1.442,Latin America and Caribbean
121,Germany,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,2015,,Western Europe
122,Germany,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,2016,,Western Europe
123,Germany,16,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.276731938123703,0.336269170045853,2.01576995849609,2017,,Western Europe
124,Germany,15,6.965,1.34,,0.861,0.586,0.28,0.273,,2018,1.474,Western Europe
125,Germany,17,6.985,1.373,,0.987,0.495,0.265,0.261,,2019,1.454,Western Europe
126,Chile,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,2015,,Latin America and Caribbean
127,Chile,24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,2016,,Latin America and Caribbean
128,Chile,20,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.0822879821062088,0.326662421226501,2.50958585739136,2017,,Latin America and Caribbean
129,Chile,25,6.476,1.131,,0.808,0.431,0.061,0.197,,2018,1.331,Latin America and Caribbean
130,Chile,26,6.444,1.159,,0.92,0.357,0.056,0.187,,2019,1.369,Latin America and Caribbean
131,Qatar,28,6.611,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,2015,,Middle East and Northern Africa
132,Qatar,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,2016,,Middle East and Northern Africa
133,Qatar,35,6.375,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.439299255609512,0.330473870038986,1.1454644203186,2017,,Middle East and Northern Africa
134,Qatar,32,6.374,1.649,,0.748,0.654,0.171,0.256,,2018,1.303,Middle East and Northern Africa
135,Qatar,29,6.374,1.684,,0.871,0.555,0.167,0.22,,2019,1.313,Middle East and Northern Africa
136,France,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,2015,,Western Europe
137,France,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,2016,,Western Europe
138,France,31,6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.172502428293228,0.129762306809425,2.00595474243164,2017,,Western Europe
139,France,23,6.489,1.293,,0.908,0.52,0.176,0.098,,2018,1.466,Western Europe
140,France,24,6.592,1.324,,1.045,0.436,0.183,0.111,,2019,1.472,Western Europe
141,Argentina,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,2015,,Latin America and Caribbean
142,Argentina,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,2016,,Latin America and Caribbean
143,Argentina,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695,2.61400532722473,2017,,Latin America and Caribbean
144,Argentina,29,6.388,1.073,,0.744,0.57,0.054,0.062,,2018,1.468,Latin America and Caribbean
145,Argentina,47,6.086,1.092,,0.881,0.471,0.05,0.066,,2019,1.432,Latin America and Caribbean
146,Czech Republic,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,2015,,Central and Eastern Europe
147,Czech Republic,27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,2016,,Central and Eastern Europe
148,Czech Republic,23,6.60900020599365,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0368729270994663,0.0881067588925362,2.45186185836792,2017,,Central and Eastern Europe
149,Czech Republic,21,6.711,1.233,,0.854,0.543,0.034,0.064,,2018,1.489,Central and Eastern Europe
150,Czech Republic,20,6.852,1.269,,0.92,0.457,0.036,0.046,,2019,1.487,Central and Eastern Europe
151,Uruguay,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,2015,,Latin America and Caribbean
152,Uruguay,29,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,2016,,Latin America and Caribbean
153,Uruguay,28,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.178061872720718,0.175096929073334,2.17240953445435,2017,,Latin America and Caribbean
154,Uruguay,31,6.379,1.093,,0.771,0.625,0.155,0.13,,2018,1.459,Latin America and Caribbean
155,Uruguay,33,6.293,1.124,,0.891,0.523,0.15,0.127,,2019,1.465,Latin America and Caribbean
156,Colombia,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,2015,,Latin America and Caribbean
157,Colombia,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,2016,,Latin America and Caribbean
158,Colombia,36,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.0466687418520451,0.149014472961426,2.61606812477112,2017,,Latin America and Caribbean
159,Colombia,37,6.26,0.96,,0.635,0.531,0.039,0.099,,2018,1.439,Latin America and Caribbean
160,Colombia,43,6.125,0.985,,0.841,0.47,0.034,0.099,,2019,1.41,Latin America and Caribbean
161,Thailand,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,2015,,Southeastern Asia
162,Thailand,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,2016,,Southeastern Asia
163,Thailand,32,6.42399978637695,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.0316127352416515,0.572123110294342,2.03950834274292,2017,,Southeastern Asia
164,Thailand,46,6.072,1.016,,0.707,0.637,0.029,0.364,,2018,1.417,Southeastern Asia
165,Thailand,52,6.008,1.05,,0.828,0.557,0.028,0.359,,2019,1.409,Southeastern Asia
166,Saudi Arabia,35,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,2015,,Middle East and Northern Africa
167,Saudi Arabia,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,2016,,Middle East and Northern Africa
168,Saudi Arabia,37,6.3439998626709,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.27343225479126,0.147616013884544,2.0654296875,2017,,Middle East and Northern Africa
169,Saudi Arabia,33,6.371,1.379,,0.633,0.509,0.127,0.098,,2018,1.331,Middle East and Northern Africa
170,Saudi Arabia,28,6.375,1.403,,0.795,0.439,0.132,0.08,,2019,1.357,Middle East and Northern Africa
171,Spain,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,2015,,Western Europe
172,Spain,37,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,2016,,Western Europe
173,Spain,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.0709140971302986,0.190133571624756,1.92775774002075,2017,,Western Europe
174,Spain,36,6.31,1.251,,0.965,0.449,0.074,0.142,,2018,1.538,Western Europe
175,Spain,30,6.354,1.286,,1.062,0.362,0.079,0.153,,2019,1.484,Western Europe
176,Malta,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,2015,,Western Europe
177,Malta,30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,2016,,Western Europe
178,Malta,27,6.52699995040894,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.153066068887711,0.574730575084686,1.55686283111572,2017,,Western Europe
179,Malta,22,6.627,1.27,,0.884,0.645,0.142,0.376,,2018,1.525,Western Europe
180,Malta,22,6.726,1.3,,0.999,0.564,0.151,0.375,,2019,1.52,Western Europe
181,Taiwan,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,2015,,Eastern Asia
182,Taiwan,34,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,2016,,Eastern Asia
183,Taiwan,26,6.441,1.365,,0.857,0.418,0.078,0.151,,2018,1.436,Eastern Asia
184,Taiwan,25,6.446,1.368,,0.914,0.351,0.097,0.242,,2019,1.43,Eastern Asia
185,Kuwait,39,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,2015,,Middle East and Northern Africa
186,Kuwait,41,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,2016,,Middle East and Northern Africa
187,Kuwait,39,6.10500001907349,1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.215159550309181,0.228289797902107,1.64042520523071,2017,,Middle East and Northern Africa
188,Kuwait,45,6.083,1.474,,0.675,0.554,0.106,0.167,,2018,1.301,Middle East and Northern Africa
189,Kuwait,51,6.021,1.5,,0.808,0.493,0.097,0.142,,2019,1.319,Middle East and Northern Africa
190,Suriname,40,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,2015,,Latin America and Caribbean
191,Suriname,40,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,2016,,Latin America and Caribbean
192,Trinidad and Tobago,41,6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,2015,,Latin America and Caribbean
193,Trinidad and Tobago,43,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394,2016,,Latin America and Caribbean
194,Trinidad and Tobago,38,6.16800022125244,1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.0089648161083459,0.325296461582184,2.05324745178223,2017,,Latin America and Caribbean
195,El Salvador,42,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,2015,,Latin America and Caribbean
196,El Salvador,46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,2016,,Latin America and Caribbean
197,El Salvador,45,6.00299978256226,0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0899809598922729,0.0782579854130745,2.7145938873291,2017,,Latin America and Caribbean
198,El Salvador,40,6.167,0.806,,0.639,0.461,0.082,0.065,,2018,1.231,Latin America and Caribbean
199,El Salvador,35,6.253,0.794,,0.789,0.43,0.074,0.093,,2019,1.242,Latin America and Caribbean
200,Guatemala,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,2015,,Latin America and Caribbean
201,Guatemala,39,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,2016,,Latin America and Caribbean
202,Guatemala,29,6.4539999961853,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.0772232785820961,0.283488392829895,2.89389109611511,2017,,Latin America and Caribbean
203,Guatemala,30,6.382,0.781,,0.608,0.604,0.071,0.179,,2018,1.268,Latin America and Caribbean
204,Guatemala,27,6.436,0.8,,0.746,0.535,0.078,0.175,,2019,1.269,Latin America and Caribbean
205,Uzbekistan,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,2015,,Central and Eastern Europe
206,Uzbekistan,49,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,2016,,Central and Eastern Europe
207,Uzbekistan,47,5.97100019454956,0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.246528223156929,0.415983647108078,1.81691360473633,2017,,Central and Eastern Europe
208,Uzbekistan,44,6.096,0.719,,0.605,0.724,0.259,0.328,,2018,1.584,Central and Eastern Europe
209,Uzbekistan,41,6.174,0.745,,0.756,0.631,0.24,0.322,,2019,1.529,Central and Eastern Europe
210,Slovakia,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,2015,,Central and Eastern Europe
211,Slovakia,45,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,2016,,Central and Eastern Europe
212,Slovakia,40,6.09800004959106,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.0242108516395092,0.136544480919838,2.09777665138245,2017,,Central and Eastern Europe
213,Slovakia,39,6.173,1.21,,0.776,0.354,0.014,0.118,,2018,1.537,Central and Eastern Europe
214,Slovakia,38,6.198,1.246,,0.881,0.334,0.014,0.121,,2019,1.504,Central and Eastern Europe
215,Japan,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,2015,,Eastern Asia
216,Japan,53,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,2016,,Eastern Asia
217,Japan,51,5.92000007629395,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,0.12057276815176,1.36322355270386,2017,,Eastern Asia
218,Japan,54,5.915,1.294,,0.988,0.553,0.15,0.079,,2018,1.462,Eastern Asia
219,Japan,58,5.886,1.327,,1.088,0.445,0.14,0.069,,2019,1.419,Eastern Asia
220,South Korea,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,2015,,Eastern Asia
221,South Korea,57,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015,2016,,Eastern Asia
222,South Korea,55,5.83799982070923,1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,0.0632826685905457,0.206674367189407,1.88037800788879,2017,,Eastern Asia
